timestamp,run_id,runtime_seconds,gladiator,arena,accuracy,best_mae,final_mae,architecture,loss_function,hidden_activation,output_activation,weight_initializer,normalization_scheme,learning_rate,epoch_count,convergence_condition,problem_type,sample_count,seed
2025-06-03T20:22:49.707478,1,5.180894,All_Defaults,Titanic,56.666666666666664,0.15925099198232837,0.36809693471144783,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:22:55.418305,2,4.879326,All_Defaults,Predict_Income_2_Inputs,99.94855213065826,131.09499733784543,131.09499733784543,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-08,100,Did Not Converge,Regression,30,599059
2025-06-03T20:22:57.768006,3,0.85631,All_Defaults,MultiModal_Temperature,85.3172241331848,3.3831587840098467,3.413684425223235,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.001,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:00.063139,4,1.025216,All_Defaults,Parity_Check,93.33333333333333,0.1126957648502908,0.1126957648502908,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:02.404760,5,1.063414,All_Defaults,Iris_Two_Class,100.0,0.0004761227736116578,0.0004761227736116578,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:21.183601,1,5.056001,All_Defaults,Deceptive_Multi_Regime_Entangler,91.93856707640636,0.5972563080648055,0.5972563080648055,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.001,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:27.360362,2,4.971636,All_Defaults,DefaultRisk__From_Income_Debt,90.0,0.08651726526891404,0.08651726526891404,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:30.587507,3,1.015738,All_Defaults,Moons,100.0,0.003508930349438577,0.003508930349438577,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:32.375789,4,0.922437,All_Defaults,CarValueFromMiles,97.69458240342159,389.46514260384663,389.46514260384663,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-06,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:35.424416,5,1.119626,All_Defaults,California_Housing,85.23745201479916,0.2899159151938121,0.30523536299134085,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:37.540992,6,0.955415,All_Defaults,SimpleBinaryDecision,86.66666666666667,0.20989002593982606,0.2119320229393948,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:39.898671,7,1.06101,All_Defaults,Customer_Churn_4X3,93.97169140165877,0.051668656545892276,0.051904406225729956,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.1,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:42.122416,8,0.931155,All_Defaults,Predict_EnergyOutput__From_Weather_Turbine,89.83889865734496,0.12078481661633625,0.12078481661633625,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:43.936895,9,0.944226,All_Defaults,Predict_Income_2_Inputs_Nonlinear,92.73512776849793,10991.35864989104,17592.681450288495,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-08,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:45.721317,10,0.931897,All_Defaults,Predict_Income_Piecewise_Growth,93.1976668148959,12066.97825078814,12066.97825078814,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-07,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:47.493386,11,0.938216,All_Defaults,Predict_Income_2_Inputs_5Coefficents,92.39018593806591,28982.681661914827,28998.74770340841,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-08,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:50.036644,12,1.021874,All_Defaults,MultiModal_Nonlinear_Interactions,83.29714914001241,8.871017195842889,9.505585677872409,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,9.999999999999999e-05,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:52.758133,13,0.988839,All_Defaults,AutoNormalize_Challenge,94.90735285453096,0.2772078212545076,0.3006968302452806,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:55.031754,14,1.130744,All_Defaults,CaliforniaHousePricesUSD,86.11929221527605,28700.214105954736,28700.214105954736,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-09,100,Did Not Converge,Regression,30,599059
2025-06-03T20:23:58.168829,15,1.403549,All_Defaults,Bit_Flip_Memory,93.33333333333333,0.08885021354028759,0.08885021354028759,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:23:59.043568,16,0.172354,All_Defaults,XOR,100.0,0.39140997701566566,0.39140997701566566,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,4,599059
2025-06-03T20:24:01.485698,17,1.028751,All_Defaults,Chaotic_Function_Prediction,50.08013589331968,0.4487073264510976,0.4487073264510976,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,100,Did Not Converge,Regression,30,599059
2025-06-03T20:24:03.757315,18,1.012059,All_Defaults,Circle_In_Square,100.0,0.012284330159819763,0.012284330159819763,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:24:06.392985,19,0.980465,All_Defaults,Custom_Function_Recovery,91.06304394047918,1.159006597232974,1.1613746080412015,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.001,100,Did Not Converge,Regression,30,599059
2025-06-03T20:24:08.182001,20,0.983538,All_Defaults,One_Giant_Outlier,-0.2759908924281129,333.66063897265724,344.00355172057306,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-06,100,Did Not Converge,Regression,30,599059
2025-06-03T20:24:11.516579,21,1.436632,All_Defaults,Sparse_Inputs,100.0,0.0002430221994481993,0.0002430221994481993,"[4, 4, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,100,Did Not Converge,Binary Decision,30,599059
2025-06-03T20:24:14.203514,22,0.993166,All_Defaults,Adversarial_Noise,82.97542254197965,1.6873621219773678,2.108525009840384,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.001,100,Did Not Converge,Regression,30,599059
2025-06-03T20:24:16.758377,23,0.919686,All_Defaults,Chaotic_Solar_Periodic,90.20281570101427,5.581363056996457,5.595575739826571,"[4, 4, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,9.999999999999999e-05,100,Did Not Converge,Regression,30,599059
